country_id,currency_id
1,44
2,1
3,2
4,149
5,149
6,3
7,4
8,6
10,7
11,141
12,44
13,8
14,9
15,44
16,10
17,11
18,12
19,13
20,44
21,150
22,14
23,15
24,16
25,150
26,44
27,17
28,18
29,19
30,141
31,20
32,21
33,22
34,100
35,23
36,24
37,25
38,26
39,8
40,27
41,148
42,148
43,28
44,150
45,101
46,29
47,148
48,30
49,31
50,32
51,33
51,34
52,35
53,5
54,8
55,44
56,36
57,44
58,37
59,38
60,149
61,39
62,40
63,141
64,44
65,41
66,147
67,42
68,44
69,43
70,44
71,45
72,46
73,141
74,38
75,44
76,148
77,46
78,149
79,47
80,44
81,46
82,48
83,49
84,38
85,50
86,51
87,44
88,148
89,44
90,46
91,52
92,141
93,150
94,53
95,54
96,8
97,55
98,56
99,57
100,58
101,59
102,44
103,60
104,46
105,61
106,46
107,62
108,63
109,64
110,44
111,46
112,65
113,66
114,67
115,68
116,69
117,70
118,8
119,71
120,149
121,72
122,73
123,203
